证劵代码,证劵简称,交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),
"02078-HKG","荣阳实业","2023-08-03","0.1","0.1","0.099","0.099","8000",
"02080-HKG","奥克斯国际","2023-08-03","null","null","null","0.315","0",
"02086-HKG","高维科技","2023-08-03","0.69","0.7","0.66","0.66","101000",
"02088-HKG","西王置业","2023-08-03","0.073","0.073","0.073","0.073","93025",
"02096-HKG","先声药业","2023-08-03","7.09","7.26","6.98","7.19","7272000",
"02098-HKG","卓尔智联","2023-08-03","0.335","0.335","0.33","0.33","1910000",
"02099-HKG","中国黄金国际","2023-08-03","29.45","30","28.9","29.4","1636866",
"02100-HKG","百奥家庭互动","2023-08-03","0.345","0.35","0.33","0.345","970000",
"02101-HKG","福禄控股","2023-08-03","3.52","3.52","3","3.4","3500",
"02102-HKG","德利机械","2023-08-03","null","null","null","0.142","10000",
"02105-HKG","来凯医药-B","2023-08-03","15","15.4","14.3","15.1","198000",
"02107-HKG","第一服务控股","2023-08-03","null","null","null","0.455","0",
"02108-HKG","K2 F&B","2023-08-03","null","null","null","0.205","0",
"02110-HKG","天成控股","2023-08-03","0.056","0.058","0.055","0.058","580000",
"02111-HKG","超盈国际控股","2023-08-03","1.07","1.07","1.02","1.03","86000",
"02112-HKG","恩典生命科技","2023-08-03","0.455","0.465","0.415","0.44","1706000",
"02113-HKG","世纪集团国际","2023-08-03","null","null","null","0.084","0",
"02115-HKG","捷心隆","2023-08-03","0.27","0.275","0.27","0.27","230000",
"02116-HKG","江苏创新","2023-08-03","0.24","0.241","0.235","0.241","90000",
"02117-HKG","大唐集团控股","2023-08-03","null","null","null","null","null",
"02118-HKG","天山发展控股","2023-08-03","null","null","null","null","null",
"02119-HKG","捷荣国际控股","2023-08-03","null","null","null","0.8","0",
"02120-HKG","康宁医院","2023-08-03","10.16","10.6","10.16","10.6","64000",
"02121-HKG","创新奇智","2023-08-03","16.86","17.02","16.66","16.86","489300",
"02122-HKG","凯知乐国际","2023-08-03","null","null","null","0.074","0",
"02125-HKG","稻草熊娱乐","2023-08-03","0.8","0.83","0.79","0.8","346000",
"02126-HKG","药明巨诺-B","2023-08-03","2.61","2.92","2.61","2.7","136500",
"02127-HKG","汇森家居","2023-08-03","0.15","0.15","0.146","0.15","620000",
"02128-HKG","中国联塑","2023-08-03","5.19","5.22","5.01","5.14","6858368",
"02129-HKG","LEGION CONSO","2023-08-03","0.109","0.115","0.109","0.115","25000",
"02130-HKG","嘉泓物流","2023-08-03","7.04","7.4","6.93","7.35","244000",
"02131-HKG","云想科技","2023-08-03","0.76","0.79","0.76","0.77","122000",
"02132-HKG","誉燊丰控股","2023-08-03","0.44","0.445","0.425","0.43","3336000",
"02135-HKG","瑞丽医美","2023-08-03","0.145","0.145","0.145","0.145","400000",
"02136-HKG","利福中国","2023-08-03","1.11","1.13","1.04","1.05","2248000",
"02137-HKG","腾盛博药-B","2023-08-03","3.25","3.25","3.13","3.21","7841000",
"02138-HKG","医思健康","2023-08-03","4.65","4.88","4.61","4.81","1121000",
"02139-HKG","甘肃银行","2023-08-03","0.79","0.79","0.78","0.79","1826000",
"02142-HKG","和铂医药-B","2023-08-03","1.8","1.87","1.75","1.78","615000",
"02145-HKG","上美股份","2023-08-03","23.5","26.05","23.3","25.5","390400",
"02146-HKG","荣万家","2023-08-03","2.57","2.57","2.57","2.57","14500",
"02147-HKG","正味集团","2023-08-03","1.82","1.84","1.66","1.69","5880000",
"02148-HKG","VESYNC","2023-08-03","3.13","3.2","3.13","3.2","20000",
"02150-HKG","奈雪的茶","2023-08-03","5.18","5.22","5.12","5.19","3012500",
"02152-HKG","苏新服务","2023-08-03","null","null","null","7.82","0",
"02153-HKG","达丰设备","2023-08-03","1.24","1.24","1.22","1.23","246000",
"02155-HKG","森松国际","2023-08-03","5.91","6.07","5.85","6.05","1235000",
